outcome,policy,n_tasks,live,live_se,ope_dr,ope_se,ope_minus_live,diff_se_paired,diff_lower,diff_upper,covers_zero,live_model_calls,shared_log_model_calls,se_ratio_ope_over_live
utility,always_large,330,0.6776666666666666,0.024267998277207554,0.6718648638782563,0.024454640592209725,-0.005801802788410325,0.011607358040837927,-0.02855222454845266,0.01694861897163201,True,858,3662,1.007690882159715
utility,always_small,330,0.5956060606060607,0.024246207796301187,0.579852299477749,0.02489684467181547,-0.015753761128311745,0.016954405258771437,-0.04898439543550376,0.017476873178880272,True,990,3662,1.0268345829987293
utility,class_tailored,330,0.631878787878788,0.023852138691094774,0.5946871367388237,0.024820672166541092,-0.03719165113996432,0.01647339961953891,-0.06947951439426059,-0.0049037878856680525,False,934,3662,1.0406057288191068
utility,escalate_after_first_failure,330,0.6245151515151516,0.02458421350564417,0.6078803181941517,0.026170855266249123,-0.016634833320999857,0.017914515380918854,-0.05174728346760081,0.0184776168256011,True,934,3662,1.0645390490218727
utility,learned,330,0.6726666666666665,0.02378979305887382,0.6893762748186247,0.025379018575729325,0.01670960815195812,0.01451995683065748,-0.011749507236130542,0.04516872354004678,True,880,3662,1.0668028306476887
utility,soft_escalation_d2,330,0.6463636363636364,0.023626229751696953,0.6399524407695258,0.021475757510151287,-0.0064111955941105496,0.012020660426701805,-0.02997169003044609,0.017149298842224988,True,908,3662,0.9089794578252076
success,always_large,330,0.7166666666666667,0.023753503221477564,0.7114370482356182,0.023871631861807668,-0.0052296184310485746,0.011402599738559248,-0.0275787139186247,0.01711947705652755,True,858,3662,1.004973103934551
success,always_small,330,0.6106060606060606,0.024033855719790012,0.594593983729829,0.024731291632319075,-0.016012076876231605,0.016836606996003096,-0.04901182658839767,0.016987672835934466,True,990,3662,1.0290188940409914
success,class_tailored,330,0.6515151515151515,0.02349342619084726,0.6148707228276163,0.02447455906869416,-0.036644428687535154,0.016332221654372037,-0.06865558313010434,-0.004633274244965964,False,934,3662,1.0417620175906543
success,escalate_after_first_failure,330,0.646969696969697,0.02411211755367536,0.630581099278206,0.025758829207467526,-0.01638859769149089,0.017627786135450584,-0.050939058516974035,0.018161863133992255,True,934,3662,1.068293945984896
success,learned,330,0.7090909090909091,0.023424418712750972,0.7259892489869318,0.025063800775783185,0.01689833989602266,0.014411368035962427,-0.011347941454463696,0.04514462124650902,True,880,3662,1.0699860296699624
success,soft_escalation_d2,330,0.6757575757575758,0.023273201232470776,0.6688838067928169,0.021134798706134317,-0.006873768964758859,0.011921112076201149,-0.03023914863411311,0.016491610704595393,True,908,3662,0.9081173876779376
