outcome,policy,dr_estimate,dr_se,dr_lower,dr_upper,dr_n_tasks,ipw,ipw_se,gcomp,ess_last_stage,max_weight,zero_weight_fraction,tasks_with_support,missing_q_cells
utility,always_small,0.579852299477749,0.02489684467181547,0.5310544839209906,0.6286501150345073,330,0.5820757575757577,0.025185075849725385,0.5786884719616215,771.2665534804754,8.0,0.5882575757575758,317,0
utility,always_large,0.6718648638782563,0.024454640592209725,0.6239337683175252,0.7197959594389873,330,0.6736363636363635,0.02449848562192516,0.6745646252836862,902.6057494866529,8.0,0.5609848484848485,319,0
utility,escalate_after_first_failure,0.6078803181941517,0.026170855266249123,0.5565854418723034,0.6591751945159999,330,0.6105606060606061,0.02624255247059714,0.6061536949297281,832.887189292543,8.0,0.5837121212121212,325,0
utility,escalate_after_second_failure,0.6187113397022852,0.0252870838924858,0.5691486552730131,0.6682740241315573,330,0.6031363636363637,0.026515470477956264,0.6154103601192026,788.4912280701755,8.0,0.5954545454545455,318,0
utility,large_then_small,0.6614534160688716,0.02430122133614691,0.6138230222500237,0.7090838098877196,330,0.6593030303030303,0.02431551487385823,0.6632874920772637,888.4716981132076,8.0,0.5659090909090909,319,0
utility,class_tailored,0.5946871367388237,0.024820672166541092,0.5460386192924032,0.6433356541852442,330,0.590969696969697,0.024921824847973312,0.599836991012841,821.7299412915851,8.0,0.5882575757575758,321,0
utility,soft_escalation_d2,0.6399524407695258,0.021475757510151287,0.5978599560496293,0.6820449254894224,330,0.6396422558922559,0.021418778048636764,0.6398659988511716,2527.9945735878578,1.7777777777777777,0.0,330,0
utility,soft_escalation_d4,0.6406988721747114,0.021760460920855186,0.5980483687698352,0.6833493755795876,330,0.6411863636363636,0.0216786211716391,0.6407789311262122,2285.7241940961158,2.5600000000000005,0.0,330,0
utility,learned,0.6893762748186247,0.025379018575729325,0.6396333984101953,0.7391191512270542,330,0.6865454545454545,0.02640377899395235,0.6892274652966984,886.5051975051975,8.0,0.565530303030303,319,0
success,always_small,0.594593983729829,0.024731291632319075,0.5461206521304836,0.6430673153291744,330,0.5969696969696969,0.025076464016905105,0.5934505681655888,771.2665534804754,8.0,0.5882575757575758,317,0
success,always_large,0.7114370482356182,0.023871631861807668,0.6646486497864751,0.7582254466847612,330,0.7136363636363636,0.02402920998150447,0.7142507077809336,902.6057494866529,8.0,0.5609848484848485,319,0
success,escalate_after_first_failure,0.630581099278206,0.025758829207467526,0.5800937940315697,0.6810684045248424,330,0.6333333333333333,0.02602036408800064,0.6288708921657704,832.887189292543,8.0,0.5837121212121212,325,0
success,escalate_after_second_failure,0.6379060894282227,0.025018064723396585,0.5888706825703653,0.68694149628608,330,0.6212121212121212,0.026462302098678975,0.6346404590834742,788.4912280701755,8.0,0.5954545454545455,318,0
success,large_then_small,0.6948294579633579,0.02410032382439407,0.6475928232675455,0.7420660926591703,330,0.6924242424242424,0.024142484197109994,0.696694525087391,888.4716981132076,8.0,0.5659090909090909,319,0
success,class_tailored,0.6148707228276163,0.02447455906869416,0.5669005870529757,0.6628408586022569,330,0.6106060606060606,0.024672092657513623,0.6200993577278304,821.7299412915851,8.0,0.5882575757575758,321,0
success,soft_escalation_d2,0.6688838067928169,0.021134798706134317,0.6274596013287936,0.7103080122568401,330,0.6686026936026936,0.021083718084312145,0.6688511401430615,2527.9945735878578,1.7777777777777777,0.0,330,0
success,soft_escalation_d4,0.6705307756591763,0.021380425420191744,0.6286251418356005,0.7124364094827521,330,0.6711212121212121,0.021324884881769812,0.6706693750294174,2285.7241940961158,2.5600000000000005,0.0,330,0
success,learned,0.7259892489869318,0.025063800775783185,0.6768641994663968,0.7751142985074669,330,0.7227272727272728,0.02630573626905618,0.7259021140586929,886.5051975051975,8.0,0.565530303030303,319,0
