outcome,contrast,estimate,se,lower95,upper95,lower_bonferroni,upper_bonferroni
utility,always_large - always_small,0.0920125644005075,0.022496255498287307,0.04791990362386437,0.13610522517715062,0.030499505552115315,0.15352562324889968
utility,escalate_after_first_failure - always_small,0.028028018716402803,0.01624643742979666,-0.003814998645998647,0.05987103607880426,-0.016395732683997476,0.07245177011680308
utility,escalate_after_second_failure - always_small,0.03885904022453631,0.015853546486014496,0.007786089111947898,0.06993199133712472,-0.004490402442674464,0.08220848289174709
utility,large_then_small - always_small,0.08160111659112286,0.021531162126429915,0.03940003882332023,0.12380219435892549,0.022726978934827592,0.14047525424741814
utility,class_tailored - always_small,0.01483483726107471,0.012622223210217541,-0.00990472023095167,0.039574394753101094,-0.01967897590159873,0.049348650423748155
utility,soft_escalation_d2 - always_small,0.060100141291776946,0.013932956421064189,0.032791546706491134,0.08740873587706276,0.022002300149892025,0.09819798243366187
utility,soft_escalation_d4 - always_small,0.06084657269696258,0.014631789636780052,0.03216826500887368,0.08952488038505148,0.020837863823031592,0.10085528157089357
utility,learned - always_small,0.10952397534087593,0.022857981758831622,0.06472233109356595,0.1543256195881859,0.04702182349638201,0.17202612718536986
success,always_large - always_small,0.11684306450578909,0.022133907531778324,0.07346060574350358,0.1602255232680746,0.05632079862688284,0.17736533038469532
success,escalate_after_first_failure - always_small,0.03598711554837708,0.016187562169255362,0.004259493696636571,0.06771473740011759,-0.008275649177300073,0.08024988027405423
success,escalate_after_second_failure - always_small,0.043312105698393645,0.01590527945022706,0.012137757975948613,0.07448645342083868,-0.00017879397139479447,0.08680300536818208
success,large_then_small - always_small,0.10023547423352887,0.02134455860995764,0.058400139358011895,0.14207080910904585,0.04187157940813272,0.15859936905892502
success,class_tailored - always_small,0.02027673909778736,0.012612138270665364,-0.004443051912716753,0.04499653010829147,-0.01420949812096053,0.05476297631653525
success,soft_escalation_d2 - always_small,0.0742898230629879,0.013844289168422008,0.04715501629288076,0.10142462983309503,0.0364344308891154,0.11214521523686038
success,soft_escalation_d4 - always_small,0.07593679192934732,0.014533442708099474,0.04745124422147236,0.10442233963722229,0.03619699982745191,0.11567658403124273
success,learned - always_small,0.13139526525710274,0.022633634796647942,0.08703334105567277,0.1757571894585327,0.06950656074335741,0.19328396977084805
