policy,live_success,dr_success,dr_se,static_A,static_B,static_B_tasks,no_donor_tasks,B_minus_live_discrepancy,B_minus_live_discrepancy_se,A_minus_live_discrepancy,DR_minus_live_discrepancy,rule_can_represent
always_large,0.7166666666666667,0.7114370482356182,0.023871631861807668,0.6643939393939394,0.7121212121212122,330,0,-0.004545454545454545,0.014151635362774528,-0.05227272727272725,-0.005229618431048522,True
always_small,0.6106060606060606,0.594593983729829,0.024731291632319075,0.6643939393939394,0.603030303030303,330,0,-0.007575757575757576,0.020069663286067917,0.05378787878787883,-0.01601207687623163,True
class_tailored,0.6515151515151515,0.6148707228276163,0.02447455906869416,0.6643939393939394,0.6121212121212121,330,0,-0.03939393939393939,0.02001378331071836,0.012878787878787934,-0.03664442868753515,True
escalate_after_first_failure,0.646969696969697,0.630581099278206,0.025758829207467526,0.6643939393939394,0.6212121212121212,330,0,-0.025757575757575757,0.02036578567542187,0.017424242424242453,-0.016388597691490925,True
learned,0.7090909090909091,0.7259892489869318,0.025063800775783185,0.6643939393939394,0.7121212121212122,330,0,0.0030303030303030303,0.014711298562572929,-0.04469696969696968,0.01689833989602274,True
soft_escalation_d2,0.6757575757575758,0.6688838067928169,0.021134798706134317,0.6643939393939394,0.7121212121212122,330,0,0.03636363636363636,0.01771293728899455,-0.011363636363636354,-0.006873768964758886,False
