n,rmse_smart_aipw,rmse_smart_ipw,rmse_one_arm_per_scaffold,regret_smart,regret_one_arm,value_best_fixed_picked,value_qlearned,value_qlearned_forked,p_qlearned_beats_best_fixed,contrast_rmse_randomized,contrast_rmse_forked,value_best_fixed_truth,value_oracle_tailored
300,0.052384689113641504,0.05361112997098787,0.08986378670762148,0.018811910652499948,0.03213979100999994,0.7219826518475,0.73390275715,0.74397799535,0.415,0.09333995402600742,0.06346746505890342,0.7407945625,0.7665747074999999
600,0.036781887512372755,0.03774356450776108,0.06125867183767897,0.011669671964999946,0.02351435322499994,0.729124890535,0.7424254897166667,0.7492831918666667,0.628,0.06358962644416123,0.04374486953397611,0.7407945625,0.7665747074999999
1200,0.026000373417538886,0.02683450096950183,0.04375914298097136,0.00682116183499995,0.01824272620749994,0.7339734006649999,0.7478854321333334,0.7520160776499999,0.816,0.046131832837592764,0.03063238279749338,0.7407945625,0.7665747074999999
2400,0.018106172127478004,0.018994700032933524,0.030673774784845724,0.002937433499999955,0.011598283639999953,0.737857129,0.7515607889333333,0.7545572727166667,0.911,0.03187168280144237,0.021628353804953596,0.7407945625,0.7665747074999999
4800,0.012921642046260775,0.013422345748508417,0.021749648805526798,0.0017208641374999592,0.0071747797249999525,0.7390736983624999,0.7538413648,0.7562752569833333,0.948,0.023158713558824998,0.015876732157161084,0.7407945625,0.7665747074999999
