horizon,floor,n,policy,dr_rmse_shared_log,onpolicy_rmse_split_budget,rmse_ratio_separate_over_dr
2,0.05,1000,always_small,0.029561427017215546,0.03331863687661355,1.127098392686183
2,0.05,1000,always_large,0.03160439113207961,0.03224757197928218,1.0203509963066404
2,0.05,1000,fixed_switch,0.02740985417135136,0.03412085638327975,1.2448390338005773
2,0.05,1000,failure_escalation,0.023051052200590193,0.03573802855752751,1.55038599741718
2,0.05,1000,soft_escalation,0.019179653460652115,0.0355286586931717,1.8524140056054856
2,0.05,250,always_small,0.06030526120542115,0.0666372737532271,1.1049993387183394
2,0.05,250,always_large,0.06611418283891853,0.06449514395856436,0.9755114740766165
2,0.05,250,fixed_switch,0.05785894306022099,0.0682417127665595,1.1794496953657083
2,0.05,250,failure_escalation,0.046629276337112224,0.07147605711505502,1.5328579538380536
2,0.05,250,soft_escalation,0.03906779964929326,0.0710573173863434,1.8188205638458277
2,0.05,4000,always_small,0.015636651756246366,0.016659318438306776,1.0654018966465686
2,0.05,4000,always_large,0.016239739491441477,0.01612378598964109,0.9928598915110987
2,0.05,4000,fixed_switch,0.014139998307991437,0.017060428191639877,1.2065367915919702
2,0.05,4000,failure_escalation,0.011893108986862863,0.017869014278763754,1.5024678827463769
2,0.05,4000,soft_escalation,0.009939723209341972,0.01776432934658585,1.787205636660971
2,0.2,1000,always_small,0.029561427017215546,0.03331863687661355,1.127098392686183
2,0.2,1000,always_large,0.03160439113207961,0.03224757197928218,1.0203509963066404
2,0.2,1000,fixed_switch,0.02740985417135136,0.03412085638327975,1.2448390338005773
2,0.2,1000,failure_escalation,0.023051052200590193,0.03573802855752751,1.55038599741718
2,0.2,1000,soft_escalation,0.019179653460652115,0.0355286586931717,1.8524140056054856
2,0.2,250,always_small,0.06030526120542115,0.0666372737532271,1.1049993387183394
2,0.2,250,always_large,0.06611418283891853,0.06449514395856436,0.9755114740766165
2,0.2,250,fixed_switch,0.05785894306022099,0.0682417127665595,1.1794496953657083
2,0.2,250,failure_escalation,0.046629276337112224,0.07147605711505502,1.5328579538380536
2,0.2,250,soft_escalation,0.03906779964929326,0.0710573173863434,1.8188205638458277
2,0.2,4000,always_small,0.015636651756246366,0.016659318438306776,1.0654018966465686
2,0.2,4000,always_large,0.016239739491441477,0.01612378598964109,0.9928598915110987
2,0.2,4000,fixed_switch,0.014139998307991437,0.017060428191639877,1.2065367915919702
2,0.2,4000,failure_escalation,0.011893108986862863,0.017869014278763754,1.5024678827463769
2,0.2,4000,soft_escalation,0.009939723209341972,0.01776432934658585,1.787205636660971
