n,horizon,floor,policy,q_spec,behavior,method,bias,bias_mc_se,rmse,coverage_95,coverage_mc_se
1000,10,0.2,always_large,misspecified,misspecified,ipw,6.046584872959562,0.0836599718213622,6.599483352518541,0.317,0.014714312760030624
1000,10,0.2,always_large,misspecified,misspecified,gcomp,-0.022348564054568767,0.000513903764003969,0.027627726958256136,,
1000,10,0.2,always_large,misspecified,misspecified,dr,0.3092916586272402,0.05892193615414163,1.8878517144333609,0.949,0.006956938982052382
1000,10,0.2,fixed_switch,correct,known,ipw,0.024078309894561827,0.029464868278020192,0.9316061663524012,0.672,0.014846413708367418
1000,10,0.2,fixed_switch,correct,known,gcomp,0.00046174207821842383,0.0005060868032536034,0.016002528997687258,,
1000,10,0.2,fixed_switch,correct,known,dr,0.010306634935878979,0.020000363917707552,0.6322347420124892,0.902,0.009401914698613255
1000,10,0.2,fixed_switch,misspecified,known,ipw,0.024078309894561827,0.029464868278020192,0.9316061663524012,0.672,0.014846413708367418
1000,10,0.2,fixed_switch,misspecified,known,gcomp,-0.0217847307337965,0.0005139037640039692,0.02717365405540461,,
1000,10,0.2,fixed_switch,misspecified,known,dr,0.010475946878006773,0.020807602195554,0.6577485068643532,0.956,0.006485676526007139
1000,10,0.2,fixed_switch,correct,misspecified,ipw,1.5743195462803332,0.0433410149274772,2.0868749759315173,0.864,0.010839926199010766
1000,10,0.2,fixed_switch,correct,misspecified,gcomp,0.00046174207821842383,0.0005060868032536034,0.016002528997687258,,
1000,10,0.2,fixed_switch,correct,misspecified,dr,-0.042239486422490376,0.021662748813805904,0.6859953248361936,0.915,0.008819013550278736
1000,10,0.2,fixed_switch,misspecified,misspecified,ipw,1.5743195462803332,0.0433410149274772,2.0868749759315173,0.864,0.010839926199010766
1000,10,0.2,fixed_switch,misspecified,misspecified,gcomp,-0.0217847307337965,0.0005139037640039692,0.02717365405540461,,
1000,10,0.2,fixed_switch,misspecified,misspecified,dr,-0.008118747255265419,0.022089388190805394,0.6982256394822836,0.912,0.008958571314668425
1000,10,0.2,failure_escalation,correct,known,ipw,0.008131525504579228,0.022755592712672378,0.7192811024991237,0.627,0.015292841462592882
1000,10,0.2,failure_escalation,correct,known,gcomp,-1.8117338436812293e-05,0.0008400423825159651,0.02655119322095766,,
1000,10,0.2,failure_escalation,correct,known,dr,-0.015188566976742205,0.019305954699625403,0.6103915624776699,0.97,0.0053944415837044735
1000,10,0.2,failure_escalation,misspecified,known,ipw,0.008131525504579228,0.022755592712672378,0.7192811024991237,0.627,0.015292841462592882
1000,10,0.2,failure_escalation,misspecified,known,gcomp,0.014729357797025817,0.0006541042733672515,0.02538461205434639,,
1000,10,0.2,failure_escalation,misspecified,known,dr,-0.010741397943062477,0.01772871262641868,0.5604536749531742,0.981,0.004317290817167639
